"FID","GroupName","SubGroupName","FocalTermiteColor","FocalTermiteYN","AttackedTermiteColor","FocalTermiteAttackedYN","FocalTermitePalatability","PriorExposureYN"
18065,"Water","GreenDB","Brown",0,"Green",0,1,0
18065,"Water","GreenDB","Green",1,"Green",1,0,0
18070,"DB","GreenDB","Brown",1,"Brown",1,1,1
18070,"DB","GreenDB","Green",0,"Brown",0,0,1
18073,"DB","BrownDB","Brown",0,"Green",0,0,1
18073,"DB","BrownDB","Green",1,"Green",1,1,1
18087,"Water","BrownDB","Brown",1,"Green",0,0,0
18087,"Water","BrownDB","Green",0,"Green",1,1,0
18089,"DB","GreenDB","Brown",1,"Green",0,1,1
18089,"DB","GreenDB","Green",0,"Green",1,0,1
18097,"DB","BrownDB","Brown",0,"Brown",1,0,1
18097,"DB","BrownDB","Green",1,"Brown",0,1,1
18105,"Water","GreenDB","Brown",1,"Green",0,1,0
18105,"Water","GreenDB","Green",0,"Green",1,0,0
18109,"Water","BrownDB","Brown",0,"Brown",1,0,0
18109,"Water","BrownDB","Green",1,"Brown",0,1,0
18114,"DB","GreenDB","Brown",1,"Brown",1,1,1
18114,"DB","GreenDB","Green",0,"Brown",0,0,1
18117,"DB","BrownDB","Brown",0,"Green",0,0,1
18117,"DB","BrownDB","Green",1,"Green",1,1,1
18125,"Water","GreenDB","Brown",0,"Green",0,1,0
18125,"Water","GreenDB","Green",1,"Green",1,0,0
18128,"Water","BrownDB","Brown",1,"Green",0,0,0
18128,"Water","BrownDB","Green",0,"Green",1,1,0
18133,"DB","GreenDB","Brown",0,"Green",0,1,1
18133,"DB","GreenDB","Green",1,"Green",1,0,1
18136,"DB","BrownDB","Brown",0,"Brown",1,0,1
18136,"DB","BrownDB","Green",1,"Brown",0,1,1
18138,"Water","GreenDB","Brown",0,"Brown",1,1,0
18138,"Water","GreenDB","Green",1,"Brown",0,0,0
18143,"Water","BrownDB","Brown",0,"Brown",1,0,0
18143,"Water","BrownDB","Green",1,"Brown",0,1,0
18145,"DB","GreenDB","Brown",0,"Green",0,1,1
18145,"DB","GreenDB","Green",1,"Green",1,0,1
18149,"DB","BrownDB","Brown",1,"Green",0,0,1
18149,"DB","BrownDB","Green",0,"Green",1,1,1
18157,"Water","BrownDB","Brown",1,"Green",0,0,0
18157,"Water","BrownDB","Green",0,"Green",1,1,0
18159,"Water","GreenDB","Brown",1,"Green",0,1,0
18159,"Water","GreenDB","Green",0,"Green",1,0,0
18161,"DB","GreenDB","Brown",0,"Green",0,1,1
18161,"DB","GreenDB","Green",1,"Green",1,0,1
18232,"DB","BrownDB","Brown",0,"Brown",1,0,1
18232,"DB","BrownDB","Green",1,"Brown",0,1,1
18234,"Water","GreenDB","Brown",0,"Green",0,1,0
18234,"Water","GreenDB","Green",1,"Green",1,0,0
18254,"Water","BrownDB","Brown",1,"Brown",1,0,0
18254,"Water","BrownDB","Green",0,"Brown",0,1,0
18280,"DB","GreenDB","Brown",1,"Green",0,1,1
18280,"DB","GreenDB","Green",0,"Green",1,0,1
18286,"DB","BrownDB","Brown",1,"Green",0,0,1
18286,"DB","BrownDB","Green",0,"Green",1,1,1
18288,"Water","GreenDB","Brown",0,"Brown",1,1,0
18288,"Water","GreenDB","Green",1,"Brown",0,0,0
18290,"Water","BrownDB","Brown",1,"Green",0,0,0
18290,"Water","BrownDB","Green",0,"Green",1,1,0
18306,"DB","GreenDB","Brown",0,"Brown",1,1,1
18306,"DB","GreenDB","Green",1,"Brown",0,0,1
18327,"DB","BrownDB","Brown",0,"Brown",1,0,1
18327,"DB","BrownDB","Green",1,"Brown",0,1,1
18329,"Water","BrownDB","Brown",0,"Brown",1,0,0
18329,"Water","BrownDB","Green",1,"Brown",0,1,0
18331,"Water","GreenDB","Brown",1,"Green",0,1,0
18331,"Water","GreenDB","Green",0,"Green",1,0,0
18339,"DB","GreenDB","Brown",1,"Green",0,1,1
18339,"DB","GreenDB","Green",0,"Green",1,0,1
18341,"DB","BrownDB","Brown",0,"Brown",1,0,1
18341,"DB","BrownDB","Green",1,"Brown",0,1,1
18354,"Water","GreenDB","Brown",1,"Green",0,1,0
18354,"Water","GreenDB","Green",0,"Green",1,0,0
18356,"Water","BrownDB","Brown",1,"Green",0,0,0
18356,"Water","BrownDB","Green",0,"Green",1,1,0
18358,"DB","GreenDB","Brown",0,"Green",0,1,1
18358,"DB","GreenDB","Green",1,"Green",1,0,1
18375,"DB","BrownDB","Brown",1,"Brown",1,0,1
18375,"DB","BrownDB","Green",0,"Brown",0,1,1
18400,"Water","BrownDB","Brown",1,"Green",0,0,0
18400,"Water","BrownDB","Green",0,"Green",1,1,0
18410,"DB","GreenDB","Brown",1,"Green",0,1,1
18410,"DB","GreenDB","Green",0,"Green",1,0,1
18412,"DB","BrownDB","Brown",0,"Brown",1,0,1
18412,"DB","BrownDB","Green",1,"Brown",0,1,1
18414,"Water","GreenDB","Brown",0,"Green",0,1,0
18414,"Water","GreenDB","Green",1,"Green",1,0,0
18416,"Water","BrownDB","Brown",0,"Green",0,0,0
18416,"Water","BrownDB","Green",1,"Green",1,1,0
18442,"DB","GreenDB","Brown",1,"Green",0,1,1
18442,"DB","GreenDB","Green",0,"Green",1,0,1
18444,"DB","BrownDB","Brown",0,"Brown",1,0,1
18444,"DB","BrownDB","Green",1,"Brown",0,1,1
18453,"Water","GreenDB","Brown",1,"Green",0,1,0
18453,"Water","GreenDB","Green",0,"Green",1,0,0
18455,"Water","BrownDB","Brown",0,"Green",0,0,0
18455,"Water","BrownDB","Green",1,"Green",1,1,0
18461,"DB","GreenDB","Brown",1,"Brown",1,1,1
18461,"DB","GreenDB","Green",0,"Brown",0,0,1
18468,"DB","BrownDB","Brown",1,"Brown",1,0,1
18468,"DB","BrownDB","Green",0,"Brown",0,1,1
18470,"Water","GreenDB","Brown",0,"Green",0,1,0
18470,"Water","GreenDB","Green",1,"Green",1,0,0
18473,"DB","GreenDB","Brown",0,"Brown",1,1,1
18473,"DB","GreenDB","Green",1,"Brown",0,0,1
18479,"Water","BrownDB","Brown",0,"Brown",1,0,0
18479,"Water","BrownDB","Green",1,"Brown",0,1,0
18489,"DB","BrownDB","Brown",0,"Green",0,0,1
18489,"DB","BrownDB","Green",1,"Green",1,1,1
18500,"Water","GreenDB","Brown",0,"Green",0,1,0
18500,"Water","GreenDB","Green",1,"Green",1,0,0
18502,"Water","BrownDB","Brown",1,"Brown",1,0,0
18502,"Water","BrownDB","Green",0,"Brown",0,1,0
18504,"DB","GreenDB","Brown",0,"Green",0,1,1
18504,"DB","GreenDB","Green",1,"Green",1,0,1
18507,"DB","BrownDB","Brown",1,"Green",0,0,1
18507,"DB","BrownDB","Green",0,"Green",1,1,1
18511,"Water","GreenDB","Brown",0,"Brown",1,1,0
18511,"Water","GreenDB","Green",1,"Brown",0,0,0
18515,"Water","BrownDB","Brown",1,"Brown",1,0,0
18515,"Water","BrownDB","Green",0,"Brown",0,1,0
18517,"DB","GreenDB","Brown",0,"Green",0,1,1
18517,"DB","GreenDB","Green",1,"Green",1,0,1
18519,"DB","BrownDB","Brown",0,"Brown",1,0,1
18519,"DB","BrownDB","Green",1,"Brown",0,1,1
18523,"Water","GreenDB","Brown",1,"Green",0,1,0
18523,"Water","GreenDB","Green",0,"Green",1,0,0
18525,"Water","BrownDB","Brown",0,"Brown",1,0,0
18525,"Water","BrownDB","Green",1,"Brown",0,1,0
18527,"DB","GreenDB","Brown",1,"Brown",1,1,1
18527,"DB","GreenDB","Green",0,"Brown",0,0,1
18529,"DB","BrownDB","Brown",1,"Brown",1,0,1
