"FID","SubGroupName","GroupName","AttackTime","ColorCode","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","AttackedColor","Fate","DropYN","DelayToAttack","AttackedPalatability","AttackedPalatabilityTreatment","PriorExposureYN","PriorExposure","PalatExpo","AttackNb","PrevPalatabality"
18651,"BrownDB",NA,2019-03-22 00:03:17,1,-1,2019-03-22 00:03:05,0,NA,"Green","Rejected",1,12,1,"Control",NA,NA,"NA",1,NA
18652,"BrownDB",NA,2019-03-22 00:02:53,1,1,2019-03-22 00:02:49,0,NA,"Green","Consumed",0,4,1,"Control",NA,NA,"NA",1,NA
18654,"GreenDB",NA,2019-03-22 00:02:53,2,1,2019-03-22 00:02:36,0,NA,"Brown","Consumed",0,17,1,"Control",NA,NA,"NA",1,NA
18655,"BrownDB",NA,2019-03-22 00:02:16,2,-1,2019-03-22 00:02:04,0,NA,"Brown","Rejected",1,12,0,"DB",NA,NA,"NA",1,NA
18656,"BrownDB",NA,2019-03-22 00:21:29,1,1,2019-03-22 00:02:15,0,NA,"Green","Consumed",0,1154,1,"Control",NA,NA,"NA",1,NA
18658,"GreenDB",NA,2019-03-22 00:05:16,2,1,2019-03-22 00:02:22,0,NA,"Brown","Consumed",0,174,1,"Control",NA,NA,"NA",1,NA
18659,"BrownDB",NA,2019-03-22 00:03:08,2,1,2019-03-22 00:02:20,0,NA,"Brown","Consumed",0,48,0,"DB",NA,NA,"NA",1,NA
18661,"GreenDB",NA,2019-03-22 00:10:35,1,-1,2019-03-22 00:02:06,0,NA,"Green","Rejected",1,509,0,"DB",NA,NA,"NA",1,NA
18662,"GreenDB",NA,2019-03-22 00:02:53,2,-1,2019-03-22 00:02:03,0,NA,"Brown","Rejected",1,50,1,"Control",NA,NA,"NA",1,NA
18663,"BrownDB",NA,2019-03-22 00:02:11,2,-1,2019-03-22 00:02:03,0,NA,"Brown","Rejected",1,8,0,"DB",NA,NA,"NA",1,NA
18664,"BrownDB",NA,2019-03-22 00:03:04,1,1,2019-03-22 00:02:06,0,NA,"Green","Consumed",0,58,1,"Control",NA,NA,"NA",1,NA
18665,"GreenDB",NA,2019-03-22 00:02:28,1,1,2019-03-22 00:02:02,0,NA,"Green","Consumed",0,26,0,"DB",NA,NA,"NA",1,NA
18666,"GreenDB",NA,2019-03-22 00:02:46,1,-1,2019-03-22 00:02:26,0,NA,"Green","Rejected",1,20,0,"DB",NA,NA,"NA",1,NA
18667,"BrownDB",NA,2019-03-22 00:02:29,1,1,2019-03-22 00:02:20,0,NA,"Green","Consumed",0,9,1,"Control",NA,NA,"NA",1,NA
18668,"BrownDB",NA,2019-03-22 00:03:47,2,-1,2019-03-22 00:02:21,0,NA,"Brown","Rejected",1,86,0,"DB",NA,NA,"NA",1,NA
18670,"GreenDB",NA,2019-03-22 00:03:05,1,-1,2019-03-22 00:02:54,0,NA,"Green","Rejected",1,11,0,"DB",NA,NA,"NA",1,NA
18671,"BrownDB",NA,2019-03-22 00:46:22,2,-1,2019-03-22 00:03:04,0,NA,"Brown","Rejected",1,2598,0,"DB",NA,NA,"NA",1,NA
18672,"BrownDB",NA,2019-03-22 00:08:19,2,-1,2019-03-22 00:02:58,0,NA,"Brown","Rejected",1,321,0,"DB",NA,NA,"NA",1,NA
18673,"GreenDB",NA,2019-03-22 00:03:26,2,-1,2019-03-22 00:03:02,0,NA,"Brown","Rejected",1,24,1,"Control",NA,NA,"NA",1,NA
18674,"BrownDB",NA,2019-03-22 00:03:06,2,-1,2019-03-22 00:03:00,0,NA,"Brown","Rejected",1,6,0,"DB",NA,NA,"NA",1,NA
18675,"GreenDB",NA,2019-03-22 00:04:48,1,1,2019-03-22 00:02:53,0,NA,"Green","Consumed",0,115,0,"DB",NA,NA,"NA",1,NA
18676,"BrownDB",NA,2019-03-22 00:02:48,1,1,2019-03-22 00:02:42,0,NA,"Green","Consumed",0,6,1,"Control",NA,NA,"NA",1,NA
18677,"BrownDB",NA,2019-03-22 00:02:22,1,1,2019-03-22 00:02:04,0,NA,"Green","Consumed",0,18,1,"Control",NA,NA,"NA",1,NA
18678,"GreenDB",NA,2019-03-22 00:02:47,2,1,2019-03-22 00:02:04,0,NA,"Brown","Consumed",0,43,1,"Control",NA,NA,"NA",1,NA
18680,"GreenDB",NA,2019-03-22 00:02:24,1,-1,2019-03-22 00:02:12,0,NA,"Green","Rejected",1,12,0,"DB",NA,NA,"NA",1,NA
18681,"BrownDB",NA,2019-03-22 00:04:32,1,1,2019-03-22 00:02:06,0,NA,"Green","Consumed",0,146,1,"Control",NA,NA,"NA",1,NA
18682,"BrownDB",NA,2019-03-22 00:02:37,1,1,2019-03-22 00:02:32,0,NA,"Green","Consumed",0,5,1,"Control",NA,NA,"NA",1,NA
18683,"BrownDB",NA,2019-03-22 00:02:46,2,-1,2019-03-22 00:02:30,0,NA,"Brown","Rejected",1,16,0,"DB",NA,NA,"NA",1,NA
18684,"GreenDB",NA,2019-03-22 00:02:51,2,-1,2019-03-22 00:02:05,0,NA,"Brown","Rejected",1,46,1,"Control",NA,NA,"NA",1,NA
18685,"GreenDB",NA,2019-03-22 00:02:38,2,1,2019-03-22 00:02:24,0,NA,"Brown","Consumed",0,14,1,"Control",NA,NA,"NA",1,NA
