"FID","SubGroupName","GroupName","AttackTime","AttackedTermiteColor","Outcome","VideoTimeStart","ExcludeYN","ReasonExclusion","DelayToAttack","DropYN","PriorExposureYN","AttackedTermitePalatability","AttackNb","PrevPalatabality"
18585,"GreenDB","DB",2019-03-21 00:02:11,"Green","Consumed",2019-03-21 00:02:03,0,NA,8,0,1,0,1,NA
18586,"GreenDB","Water",2019-03-21 00:07:37,"Green","Consumed",2019-03-21 00:02:26,0,NA,311,0,0,0,1,NA
18587,"BrownDB","DB",2019-03-21 00:03:43,"Green","Consumed",2019-03-21 00:02:19,0,NA,84,0,1,1,1,NA
18588,"BrownDB","Water",2019-03-21 00:02:36,"Brown","Rejected",2019-03-21 00:02:23,0,NA,13,NA,0,0,1,NA
18589,"GreenDB","DB",2019-03-21 00:17:58,"Green","Rejected",2019-03-21 00:03:34,0,NA,864,NA,1,0,1,NA
18590,"GreenDB","Water",2019-03-21 00:02:46,"Brown","Consumed",2019-03-21 00:02:21,0,NA,25,0,0,1,1,NA
18591,"BrownDB","DB",2019-03-21 00:03:12,"Brown","Consumed",2019-03-21 00:02:30,0,NA,42,0,1,0,1,NA
18592,"BrownDB","Water",2019-03-21 00:03:22,"Green","Consumed",2019-03-21 00:02:38,0,NA,44,0,0,1,1,NA
18593,"GreenDB","DB",2019-03-21 00:04:34,"Green","Rejected",2019-03-21 00:03:13,0,NA,81,NA,1,0,1,NA
18594,"GreenDB","Water",2019-03-21 00:03:12,"Green","Rejected",2019-03-21 00:01:59,0,NA,73,NA,0,0,1,NA
18595,"BrownDB","DB",2019-03-21 00:04:28,"Green","Consumed",2019-03-21 00:03:16,0,NA,72,0,1,1,1,NA
18596,"BrownDB","Water",2019-03-21 01:44:56,"Brown","Rejected",2019-03-21 00:03:22,0,NA,6094,NA,0,0,1,NA
18597,"GreenDB","DB",2019-03-21 00:05:09,"Green","Consumed",2019-03-21 00:03:28,0,NA,101,0,1,0,1,NA
18598,"GreenDB","Water",2019-03-21 00:05:13,"Green","Consumed",2019-03-21 00:04:07,0,NA,66,0,0,0,1,NA
18599,"BrownDB","DB",2019-03-21 00:03:32,"Green","Rejected",2019-03-21 00:03:07,0,NA,25,NA,1,1,1,NA
18600,"BrownDB","Water",2019-03-21 00:06:29,"Brown","Rejected",2019-03-21 00:03:32,0,NA,177,NA,0,0,1,NA
18601,"GreenDB","DB",2019-03-21 00:04:05,"Green","Rejected",2019-03-21 00:03:51,0,NA,14,NA,1,0,1,NA
18602,"GreenDB","Water",2019-03-21 00:02:15,"Brown","Consumed",2019-03-21 00:02:04,0,NA,11,0,0,1,1,NA
18603,"BrownDB","DB",2019-03-21 00:03:08,"Brown","Rejected",2019-03-21 00:02:47,0,NA,21,NA,1,0,1,NA
18605,"GreenDB","DB",2019-03-21 00:02:42,"Brown","Consumed",2019-03-21 00:02:32,0,NA,10,0,1,1,1,NA
18606,"GreenDB","Water",2019-03-21 00:13:14,"Brown","Consumed",2019-03-21 00:02:41,0,NA,633,0,0,1,1,NA
18607,"BrownDB","DB",2019-03-21 00:04:23,"Brown","Consumed",2019-03-21 00:04:17,0,NA,6,0,1,0,1,NA
18608,"BrownDB","Water",2019-03-21 00:04:36,"Brown","Consumed",2019-03-21 00:04:29,0,NA,7,0,0,0,1,NA
18609,"GreenDB","DB",2019-03-21 00:02:25,"Brown","Consumed",2019-03-21 00:02:05,0,NA,20,0,1,1,1,NA
18610,"GreenDB","Water",2019-03-21 00:04:58,"Brown","Consumed",2019-03-21 00:02:54,0,NA,124,0,0,1,1,NA
18611,"BrownDB","DB",2019-03-21 00:03:17,"Brown","Consumed",2019-03-21 00:02:33,0,NA,44,0,1,0,1,NA
18612,"BrownDB","Water",2019-03-21 00:02:54,"Green","Consumed",2019-03-21 00:02:46,0,NA,8,0,0,1,1,NA
18613,"GreenDB","DB",2019-03-21 00:03:26,"Brown","Consumed",2019-03-21 00:02:51,0,NA,35,0,1,1,1,NA
18614,"GreenDB","Water",2019-03-21 00:06:07,"Green","Rejected",2019-03-21 00:04:27,0,NA,100,NA,0,0,1,NA
18615,"BrownDB","DB",2019-03-21 00:04:44,"Brown","Consumed",2019-03-21 00:04:35,0,NA,9,0,1,0,1,NA
18616,"BrownDB","Water",2019-03-21 00:08:27,"Green","Consumed",2019-03-21 00:05:13,0,NA,194,0,0,1,1,NA
18617,"GreenDB","DB",2019-03-21 00:39:15,"Brown","Rejected",2019-03-21 00:02:21,0,NA,2214,NA,1,1,1,NA
18618,"GreenDB","Water",2019-03-21 00:02:58,"Brown","Rejected",2019-03-21 00:02:49,0,NA,9,NA,0,1,1,NA
18619,"BrownDB","DB",2019-03-21 01:40:41,"Green","Rejected",2019-03-21 00:07:22,0,NA,5599,NA,1,1,1,NA
18620,"BrownDB","Water",2019-03-21 00:02:20,"Brown","Consumed",2019-03-21 00:02:20,0,NA,0,0,0,0,1,NA
18621,"GreenDB","DB",2019-03-21 00:03:24,"Green","Rejected",2019-03-21 00:03:14,0,NA,10,NA,1,0,1,NA
18622,"GreenDB","Water",2019-03-21 00:03:06,"Green","Rejected",2019-03-21 00:02:58,0,NA,8,NA,0,0,1,NA
18623,"BrownDB","DB",2019-03-21 00:15:06,"Green","Consumed",2019-03-21 00:00:00,0,NA,906,0,1,1,1,NA
18624,"BrownDB","Water",2019-03-21 00:03:06,"Brown","Consumed",2019-03-21 00:02:30,0,NA,36,0,0,0,1,NA
18625,"GreenDB","DB",2019-03-21 00:03:39,"Green","Consumed",2019-03-21 00:03:11,0,NA,28,0,1,0,1,NA
18626,"GreenDB","Water",2019-03-21 00:03:35,"Brown","Rejected",2019-03-21 00:03:12,0,NA,23,NA,0,1,1,NA
18627,"BrownDB","DB",2019-03-21 00:05:15,"Brown","Consumed",2019-03-21 00:03:26,0,NA,109,0,1,0,1,NA
18628,"BrownDB","Water",2019-03-21 00:07:19,"Green","Rejected",2019-03-21 00:04:40,0,NA,159,NA,0,1,1,NA
18629,"GreenDB","DB",2019-03-21 00:02:15,"Brown","Consumed",2019-03-21 00:02:08,0,NA,7,0,1,1,1,NA
18631,"BrownDB","DB",2019-03-21 00:03:10,"Green","Consumed",2019-03-21 00:02:46,0,NA,24,0,1,1,1,NA
18633,"GreenDB","DB",2019-03-21 00:02:58,"Green","Consumed",2019-03-21 00:02:53,0,NA,5,0,1,0,1,NA
18634,"GreenDB","Water",2019-03-21 00:03:10,"Green","Rejected",2019-03-21 00:02:25,0,NA,45,NA,0,0,1,NA
18635,"BrownDB","DB",2019-03-21 00:08:12,"Brown","Rejected",2019-03-21 00:02:22,0,NA,350,NA,1,0,1,NA
18636,"BrownDB","Water",2019-03-21 00:03:36,"Brown","Rejected",2019-03-21 00:02:30,0,NA,66,NA,0,0,1,NA
18637,"GreenDB","DB",2019-03-21 00:03:12,"Green","Consumed",2019-03-21 00:02:31,0,NA,41,0,1,0,1,NA
18638,"GreenDB","Water",2019-03-21 00:03:23,"Brown","Consumed",2019-03-21 00:02:27,0,NA,56,0,0,1,1,NA
18639,"BrownDB","DB",2019-03-21 00:05:04,"Green","Consumed",2019-03-21 00:02:26,0,NA,158,0,1,1,1,NA
18640,"BrownDB","Water",2019-03-21 00:03:10,"Green","Consumed",2019-03-21 00:03:04,0,NA,6,0,0,1,1,NA
18641,"GreenDB","DB",2019-03-21 00:05:54,"Green","Rejected",2019-03-21 00:02:56,0,NA,178,NA,1,0,1,NA
18642,"GreenDB","Water",2019-03-21 00:04:24,"Green","Rejected",2019-03-21 00:02:47,0,NA,97,NA,0,0,1,NA
18643,"BrownDB","DB",2019-03-21 00:47:23,"Green","Consumed",2019-03-21 00:03:29,0,NA,2634,0,1,1,1,NA
18644,"BrownDB","Water",2019-03-21 00:02:23,"Green","Consumed",2019-03-21 00:02:13,0,NA,10,0,0,1,1,NA
18645,"GreenDB","DB",2019-03-21 00:02:30,"Green","Rejected",2019-03-21 00:02:22,0,NA,8,NA,1,0,1,NA
18646,"GreenDB","Water",2019-03-21 00:03:00,"Green","Consumed",2019-03-21 00:02:29,0,NA,31,0,0,0,1,NA
18647,"BrownDB","DB",2019-03-21 00:03:29,"Brown","Consumed",2019-03-21 00:02:32,0,NA,57,0,1,0,1,NA
18648,"BrownDB","Water",2019-03-21 00:03:24,"Green","Consumed",2019-03-21 00:02:28,0,NA,56,0,0,1,1,NA
18649,"GreenDB","DB",2019-03-21 00:07:08,"Brown","Consumed",2019-03-21 00:02:39,0,NA,269,0,1,1,1,NA
18651,"BrownDB","DB",2019-03-21 00:03:26,"Green","Consumed",2019-03-21 00:03:07,0,NA,19,0,1,1,1,NA
18652,"BrownDB","Water",2019-03-21 00:03:15,"Green","Consumed",2019-03-21 00:03:05,0,NA,10,0,0,1,1,NA
18653,"GreenDB","DB",2019-03-21 00:03:56,"Brown","Consumed",2019-03-21 00:03:14,0,NA,42,0,1,1,1,NA
18654,"GreenDB","Water",2019-03-21 00:04:19,"Green","Rejected",2019-03-21 00:03:09,0,NA,70,NA,0,0,1,NA
18655,"BrownDB","DB",2019-03-21 00:03:19,"Brown","Consumed",2019-03-21 00:03:03,0,NA,16,0,1,0,1,NA
18656,"BrownDB","Water",2019-03-21 01:06:40,"Green","Rejected",2019-03-21 00:03:09,0,NA,3811,NA,0,1,1,NA
18657,"GreenDB","DB",2019-03-21 00:10:07,"Brown","Consumed",2019-03-21 00:03:18,0,NA,409,0,1,1,1,NA
18658,"GreenDB","Water",2019-03-21 00:04:52,"Green","Rejected",2019-03-21 00:03:00,0,NA,112,NA,0,0,1,NA
18659,"BrownDB","DB",2019-03-21 00:03:36,"Brown","Rejected",2019-03-21 00:03:02,0,NA,34,NA,1,0,1,NA
18660,"BrownDB","Water",2019-03-21 00:05:07,"Green","Consumed",2019-03-21 00:02:59,0,NA,128,0,0,1,1,NA
18661,"GreenDB","DB",2019-03-21 00:42:10,"Brown","Consumed",2019-03-21 00:02:51,0,NA,2359,0,1,1,1,NA
18662,"GreenDB","Water",2019-03-21 00:03:29,"Brown","Rejected",2019-03-21 00:03:01,0,NA,28,NA,0,1,1,NA
18663,"BrownDB","DB",2019-03-21 00:02:25,"Brown","Consumed",2019-03-21 00:02:19,0,NA,6,0,1,0,1,NA
18664,"BrownDB","Water",2019-03-21 00:03:00,"Green","Consumed",2019-03-21 00:02:33,0,NA,27,0,0,1,1,NA
18665,"GreenDB","DB",2019-03-21 00:12:58,"Green","Rejected",2019-03-21 00:02:35,0,NA,623,NA,1,0,1,NA
